n, C, C_avg
200, 1283, 6.415
400, 2290, 5.725
600, 3539, 5.898333333333333
800, 5206, 6.5075
1000, 10025, 10.025
1200, 10350, 8.625
1400, 10917, 7.797857142857143
1600, 9630, 6.01875
1800, 13427, 7.459444444444444
2000, 16054, 8.027
2200, 20421, 9.282272727272728
2400, 21625, 9.010416666666666
2600, 18846, 7.248461538461538
2800, 18454, 6.590714285714285
3000, 23898, 7.966
3200, 27443, 8.5759375
3400, 32755, 9.633823529411766
3600, 27194, 7.553888888888889
3800, 32722, 8.611052631578948
4000, 38714, 9.6785
