n, V, V_avg
200, 8701, 43.505
400, 30048, 75.12
600, 51337, 85.56166666666667
800, 111790, 139.7375
1000, 145204, 145.204
1200, 172464, 143.72
1400, 178512, 127.50857142857143
1600, 370325, 231.453125
1800, 495511, 275.2838888888889
2000, 415294, 207.647
2200, 574384, 261.08363636363634
2400, 788880, 328.7
2600, 770700, 296.4230769230769
2800, 834431, 298.0110714285714
3000, 979312, 326.43733333333336
3200, 1182125, 369.4140625
3400, 1534073, 451.1979411764706
3600, 1591520, 442.0888888888889
3800, 1697000, 446.57894736842104
4000, 1258358, 314.5895
